Venue,City,State,ZipCode,Adjusted Capacity
Pacific Amphitheatre,Costa Mesa,CA,92626,8000
Dignity Health Amphitheatre,Bakersfield,CA,93311,4000
El Rey Theatre Los Angeles,Los Angeles,CA,90036,70
The Fruit Yard,Modesto,CA,95357,3969
FivePoint Amphitheatre,Irvine,CA,92618,12000
California Mid-State Fair,Paso Robles,CA,93446,15000
Glen Helen Amphitheater,San Bernardino,CA,92407,65000
Luther Burbank Center for the Arts,Santa Rosa,CA,95403,1681
Bob Hope Theatre - CA,Stockton,CA,95202,2042
Cascade Theater,Redding,CA,96001,997
The Novo,Los Angeles,CA,90015,2400
Paso Robles Event Center,Paso Robles,CA,93446,3300
Ace of Spades,Sacramento,CA,95811,1000
Salinas Sports Complex,Salinas,CA,93906,16670
Harlows Night Club,Sacramento,CA,95816,300
The New Parish,Oakland,CA,94612,250
Fox Theater Pomona,Pomona,CA,91766,1750
Alex Madonna Expo Center,San Luis Obispo,CA,93405,2600
San Jose Civic,San Jose,CA,95113,2850
Los Angeles Memorial Coliseum,Los Angeles,CA,90037,78467
Soma,San Diego,CA,92110,2300
House of Blues Anaheim,Anaheim,CA,92802,1800
August Hall,San Francisco,CA,94102,951
North Island Credit Union Amphitheatre,Chula Vista,CA,91911,19500
Shoreline Amphitheatre - CA,Mountain View,CA,94043,22000
Toyota Amphitheatre,Wheatland,CA,95692,18500
Belasco Theater Los Angeles,Los Angeles,CA,90015,1016
Provident Credit Union Event Center,San Jose,CA,95192,5000
1015 Folsom,San Francisco,CA,94103,1400
Exchange,Los Angeles,CA,90014,1500
Cafe Du Nord at Swedish American Hall,San Francisco,CA,94114,260
ROW DTLA,Los Angeles,CA,90021,350
Granada Theater Santa Barbara,Santa Barbara,CA,93103,1000
Globe Theatre,Los Angeles,CA,90014,1570
Westside Tuolumne - Black Oak Casino Resort,Tuolumne,CA,95379,6000
Los Angeles County Fair,Pomona,CA,91768,10000
Thunder Valley Casino Resort,Lincoln,CA,95648,4500
Harrahs Resort SoCal The Events Center,Valley Center,CA,92082,2200
Cathedral Sanctuary at Immanuel Presbyterian,Los Angeles,CA,90010,2000
Weill Hall at Sonoma State University,Rohnert Park,CA,94928,268
Ironstone Amphitheatre at Ironstone Vineyards,Murphys,CA,95247,6900
Cache Creek Casino - Summer Stage Outdoor Amphitheatre,Brooks,CA,95606,1300
Frost Amphitheater,Stanford,CA,94305,8000
Mechanics Bank Theater,Bakersfield,CA,93301,10000
Pechanga Entertainment Center,Temecula,CA,92592,16100
The Masonic Lodge at Hollywood Forever,Los Angeles,CA,90038,3481
Chumash Casino Resort,Santa Ynez,CA,93460,1430
Fox Performing Arts Center,Riverside,CA,92501,1600
Gallo Center for the Arts,Modesto,CA,95354,1248
Santa Cruz Civic Auditorium,Santa Cruz,CA,95060,2015
Luther Burbank Center for the Arts - Ruth Finley Person Theater,Santa Rosa,CA,95403,1600
Spreckels Theatre,San Diego,CA,92101,1463
Grove of Anaheim,Anaheim,CA,92806,1700
The Show - Agua Caliente Casino,Rancho Mirage,CA,92270,2057
Fred Kavli Theatre-Thousand Oaks Civic Arts,Thousand Oaks,CA,91362,1800
Sacramento Memorial Auditorium,Sacramento,CA,95814,3867
Senator Theatre - CA,Chico,CA,95928,550
Rotary Amphitheater,Fresno,CA,93720,3400
Graton Resort and Casino - The Ballroom,Rohnert Park,CA,94928,1600
Buck Owens Crystal Palace,Bakersfield,CA,93308,550
Granite Park,Fresno,CA,93726,7000
SilverLakes Festival Grounds,Norco,CA,92860,30000
Vina Robles Amphitheatre,Paso Robles,CA,93446,3300
Fantasy Springs Resort Casino,Indio,CA,92203,268
Mountain Winery,Saratoga,CA,95070,2500
Viejas Arena,San Diego,CA,92182,12500
Roxy Theatre Los Angeles,West Hollywood,CA,90069,500
House of Blues San Diego,San Diego,CA,92101,1100
The Canyon Santa Clarita,Santa Clarita,CA,91355,1300
Dodger Stadium,Los Angeles,CA,90012,56000
Concord Pavilion,Concord,CA,94521,12500
PETCO Park,San Diego,CA,92101,42445
Hollywood Bowl,Los Angeles,CA,90068,17376
Fox Theater Oakland,Oakland,CA,94612,2800
The Observatory North Park,San Diego,CA,92104,1100
The Masonic - San Francisco,San Francisco,CA,94108,3481
The Regency Ballroom,San Francisco,CA,94109,1400
Selland Arena at Fresno Convention Center,Fresno,CA,93721,11300
The Observatory Santa Ana,Santa Ana,CA,92704,1000
Saban Theatre,Beverly Hills,CA,90211,1897
Warfield,San Francisco,CA,94102,2250
Fonda Theatre,Los Angeles,CA,90028,1300
Orpheum Theatre - Los Angeles,Los Angeles,CA,90014,2650
Avila Beach Golf Resort,Avila Beach,CA,93424,5000
Great American Music Hall,San Francisco,CA,94109,600
Clos La Chance Winery,San Martin,CA,95046,500
Palace of Fine Arts,San Francisco,CA,94123,932
Fillmore San Francisco,San Francisco,CA,94115,1200
Uptown Theatre Napa,Napa,CA,94559,860
Humphreys Concerts by the Bay,San Diego,CA,92106,1400
Ball Arena,Denver,CO,80204,18000
Red Rocks Amphitheatre,Morrison,CO,80465,9450
Bluebird Theater,Denver,CO,80206,400
Ogden Theatre,Denver,CO,80218,1600
Mission Ballroom,Denver,CO,80216,3950
Broadmoor World Arena,Colorado Springs,CO,80906,7343
Empower Field at Mile High,Denver,CO,80204,76125
Grizzly Rose - CO,Denver,CO,80216,2000
Vilar Performing Arts Center,Avon,CO,81620,535
Paramount Theatre Denver,Denver,CO,80202,1870
Coors Field,Denver,CO,80205,50398
Summit Music Hall,Denver,CO,80202,1100
Buttermilk Mountain,Aspen,CO,81611,300
Cervantes Masterpiece and The Other Side,Denver,CO,80205,1000
Levitt Pavilion Denver,Denver,CO,80219,17000
Avalon Theatre - CO,Grand Junction,CO,81501,600
Macky Auditorium,Boulder,CO,80309,2000
Dicks Sporting Goods Park,Commerce City,CO,80022,27000
Budweiser Events Center,Loveland,CO,80538,7200
Pikes Peak Center,Colorado Springs,CO,80903,1989
1stBank Center,Broomfield,CO,80021,7500
Colorado State Fair,Pueblo,CO,81004,8225
Folsom Field Stadium,Boulder,CO,80302,50183
Fiddlers Green Amphitheatre,Englewood,CO,80111,18000
Thunder Mountain Amphitheatre,Loveland,CO,80538,5000
Fillmore Auditorium Denver,Denver,CO,80218,3600
Belly Up Aspen,Aspen,CO,81611,450
Gothic Theatre,Englewood,CO,80113,1100
Mohegan Sun Arena-CT,Uncasville,CT,6382,9000
Xfinity Theatre,Hartford,CT,6120,30000
Oakdale Theatre,Wallingford,CT,6492,4600
Webster Bank Arena,Bridgeport,CT,6604,10000
Hartford HealthCare Amphitheater,Bridgeport,CT,6604,8000
XL Center,Hartford,CT,6120,16294
Premier Theater at Foxwoods Resort Casino,Mashantucket,CT,6338,4000
The Dome at Oakdale Theatre,Wallingford,CT,6492,5000
Toads Place - CT,New Haven,CT,6511,750
Shrine at MGM Grand Foxwoods,Mashantucket,CT,6338,1100
Webster Theatre,Hartford,CT,6114,1200
Palace Theatre at Stamford Center for the Arts,Stamford,CT,6901,1598
Great Cedar Showroom at Foxwoods Casino,Mashantucket,CT,6339,1400
Ridgefield Playhouse,Ridgefield,CT,6877,500
Capital One Arena,Washington DC,DC,20004,20278
The Anthem,Washington DC,DC,20024,6000
Union Stage,Washington DC,DC,20024,850
Echostage,Washington DC,DC,20018,3000
Lincoln Theatre DC,Washington DC,DC,20006,1225
Warner Theatre - Washington DC,Washington DC,DC,20004,1900
Gypsy Sally's,Washington DC,DC,20007,300
The Hamilton Live,Washington DC,DC,20005,500
Nationals Park,Washington DC,DC,20003,41888
U Street Music Hall,Washington DC,DC,20009,500
9:30 Club,Washington DC,DC,20001,1200
Hudson Fields,Milton,DE,19968,4000
Bottle and Cork,Dewey Beach,DE,19971,1100
Chase Fieldhouse,Wilmington,DE,19801,2500
Freeman Arts Pavilion,Selbyville,DE,19975,4000
Delaware State Fair - M&T Bank Grandstand,Harrington,DE,19952,9385
Amalie Arena,Tampa,FL,33602,21500
Amway Center,Orlando,FL,32801,20000
FTX Arena,Miami,FL,33130,19600
Vystar Veterans Memorial Arena,Jacksonville,FL,32202,15000
Raymond James Stadium,Tampa,FL,33607,65000
House of Blues Orlando,Lake Buena Vista,FL,32830,2100
Hertz Arena,Estero,FL,33928,8284
FLA Live Arena,Sunrise,FL,33323,20737
Historic Virginia Key Beach Park,Miami,FL,33149,10000
Pensacola Bay Center,Pensacola,FL,32504,12000
St Augustine Amphitheatre,St. Augustine,FL,32080,4092
Dailys Place Amphitheater,Jacksonville,FL,32202,5500
Ed Smith Stadium,Sarasota,FL,34237,8500
The Gulf,Okaloosa Island,FL,32548,10000
Florida Strawberry Festival Grounds,Plant City,FL,33564,7722
Seminole Hard Rock Hotel and Casino - Tampa,Tampa,FL,33610,7000
The Ranch Concert Hall and Saloon,Fort Myers,FL,33907,1785
Donald Tucker Center at Leon County Civic Center,Tallahassee,FL,32301,12100
The Moon - FL,Tallahassee,FL,32302,1500
Tin Roof - Orlando,Orlando,FL,32819,800
Lillian S. Wells Hall at The Parker,Fort Lauderdale,FL,33304,1147
Florida Theatre Jacksonville,Jacksonville,FL,32202,1900
King Center for the Performing Arts,Melbourne,FL,32935,250
Hard Rock Live at The Event Center,Hollywood,FL,33314,7000
Meridian - Island Gardens,Miami,FL,33132,3000
The Oasis at Wynwood,Miami,FL,33127,35000
Camping World Stadium,Orlando,FL,32805,65000
TIAA Bank Field,Jacksonville,FL,32202,67164
Jannus Live,Saint Petersburg,FL,33701,2000
The Vanguard,Orlando,FL,32801,1555
The Plaza Live Theatre Orlando,Orlando,FL,32803,1250
DAER South Florida,Hollywood,FL,33314,7000
LIV Nightclub,Miami Beach,FL,33140,900
Culture Room,Fort Lauderdale,FL,33306,650
The Beacham,Orlando,FL,32801,1250
Watsco Center,Miami,FL,33146,8000
Central Florida Fairgrounds,Orlando,FL,32802,10000
Stephen C. O'Connell Center,Gainesville,FL,32611,10122
Hard Rock Live - Orlando,Orlando,FL,32819,7000
Seminole Casino Coconut Creek,Coconut Creek,FL,33073,2000
Mizner Park Amphitheater,Boca Raton,FL,33432,4200
Duke Energy Center - Mahaffey Theater,Saint Petersburg,FL,33701,2031
Times Union Perf. Arts-Moran,Jacksonville,FL,32202,2966
Walt Disney Theater at Dr Phillips Center,Orlando,FL,32801,2700
Bob Carr Theater at Dr Phillips Center,Orlando,FL,32801,2401
Club LA,Destin,FL,32541,600
Orlando Amphitheater at Central Florida Fairgrounds,Orlando,FL,32808,10000
MidFlorida Credit Union Amphitheatre at the Florida State Fair Grounds,Tampa,FL,33610,20000
iTHINK Financial Amphitheatre,West Palm Beach,FL,33411,19300
Ruth Eckerd Hall,Clearwater,FL,33759,2180
Hard Rock Live - Hollywood,Hollywood,FL,33314,7000
Story Nightclub,Miami Beach,FL,33139,1400
Hard Rock Stadium,Miami Gardens,FL,33056,65326
High Dive Gainesville,Gainesville,FL,32601,400
Fillmore Miami Beach at Jackie Gleason Theater,Miami Beach,FL,33139,2700
Addition Financial Arena,Orlando,FL,32816,5300
Yuengling Center,Tampa,FL,33620,10411
Revolution Live,Fort Lauderdale,FL,33312,1300
Miramar Regional Park,Miramar,FL,33027,5000
Pegasus Lounge,Tampa,FL,33613,200
Soundbar - Orlando,Orlando,FL,32801,350
Capital City Amphitheater,Tallahassee,FL,32301,3500
State Farm Arena,Atlanta,GA,30303,21000
Cadence Bank Amphitheatre at Chastain Park,Atlanta,GA,30342,6900
Gas South Arena,Duluth,GA,30097,13000
Mercedes-Benz Stadium,Atlanta,GA,30313,71000
Center Stage Atlanta,Atlanta,GA,30309,1100
Georgia Theatre,Athens,GA,30601,1028
Cellairis Amphitheatre at Lakewood,Atlanta,GA,30315,19000
Miller Theater - Augusta,Augusta,GA,30901,1500
The Tabernacle,Atlanta,GA,30303,2600
Coca-Cola Roxy Theatre,Atlanta,GA,30339,3600
Atlantic Station,Atlanta,GA,30363,6000
Ameris Bank Amphitheatre,Alpharetta,GA,30009,12000
Coosa Valley Fairgrounds,Rome,GA,30161,18200
Buckhead Theatre,Atlanta,GA,30305,1800
Enmarket Arena,Savannah,GA,31415,9500
Columbus Civic Center,Columbus,GA,31902,10000
Macon Centreplex,Macon,GA,31201,9000
Macon City Auditorium,Macon,GA,31201,2688
Savannah Civic Center - Johnny Mercer Theatre,Savannah,GA,31401,9600
Bell Auditorium,Augusta,GA,30901,2700
Albany Civic Center,Albany,GA,31702,10240
Lake Olmstead Stadium,Augusta,GA,30904,4822
Fabulous Fox Theatre - Atlanta,Atlanta,GA,30308,4500
Saddle Bags Savannah,Savannah,GA,31401,700
Cobb Energy Performing Arts Centre,Atlanta,GA,30339,2750
The Masquerade - Heaven,Atlanta,GA,30303,1000
Classic Center Theatre,Athens,GA,30601,2090
Savannah Civic Center - Martin Luther King Jr Arena,Savannah,GA,31401,6500
Symphony Hall Atlanta,Atlanta,GA,30309,1762
Brewhouse Music and Grill,Rome,GA,30161,500
Southern Ground Amphitheater,Fayetteville,GA,30214,1750
Terminal West,Atlanta,GA,30318,600
Variety Playhouse,Atlanta,GA,30307,1000
The Eastern,Atlanta,GA,30316,2300
The Republik - Honolulu,Honolulu,HI,96814,1000
Neal S Blaisdell Arena,Honolulu,HI,96814,8800
Aloha Stadium,Honolulu,HI,96818,50000
Wells Fargo Arena - Des Moines,Des Moines,IA,50309,17000
Five Flags Center,Dubuque,IA,52004,5200
Battery Park at Hard Rock Hotel and Casino,Sioux City,IA,51101,5500
Q Casino,Dubuque,IA,52001,10000
Great Jones County Fair,Monticello,IA,52310,25000
Paramount Theatre Cedar Rapids,Cedar Rapids,IA,52401,1693
Stir Cove at Harrahs Council Bluffs,Council Bluffs,IA,51501,3500
Hard Rock Hotel and Casino Sioux City,Sioux City,IA,51101,850
Hoyt Sherman Auditorium,Des Moines,IA,50309,1252
Surf Ballroom,Clear Lake,IA,50428,2100
Val Air Ballroom,West Des Moines,IA,50265,2556
Woolys,Des Moines,IA,50309,700
Stephens Auditorium,Ames,IA,50011,2602
Adler Theatre,Davenport,IA,52801,2400
Orpheum Theatre - Sioux City,Sioux City,IA,51101,2650
Alliant Energy PowerHouse,Cedar Rapids,IA,52401,9000
Des Moines Civic Center,Des Moines,IA,50309,2744
Lakeside Hotel Casino,Osceola,IA,50213,1200
Iowa State Fair,Des Moines,IA,50317,10600
McGrath Amphitheatre,Cedar Rapids,IA,52401,5000
Idaho Center,Nampa,ID,83687,12279
Coeur D'Alene Casino,Worley,ID,83876,1450
ExtraMile Arena,Boise,ID,83725,12644
Revolution Concert House and Event Center,Garden City,ID,83714,2300
Knitting Factory Concert House Boise,Boise,ID,83702,999
United Center,Chicago,IL,60612,23500
Allstate Arena,Rosemont,IL,60018,18500
Soldier Field,Chicago,IL,60605,61500
Bottom Lounge,Chicago,IL,60607,300
House of Blues Chicago,Chicago,IL,60654,1300
Chicago Theatre,Chicago,IL,60601,3600
TaxSlayer Center,Moline,IL,61265,9200
Rosemont Theatre,Rosemont,IL,60018,4300
