Venue,City,State,ZipCode,Adjusted Capacity
Koussevitzky Music Shed at Tanglewood,Lenox,MA,1240,5700
The Big E Xfinity Arena,West Springfield,MA,1089,3000
MassMutual Center,Springfield,MA,1103,8000
Springfield Symphony Hall,Springfield,MA,1103,2600
Palladium Worcester,Worcester,MA,1608,2160
South Shore Music Circus,Cohasset,MA,2025,2300
Gillette Stadium,Foxborough,MA,2035,68756
Brighton Music Hall,Allston,MA,2134,300
The Sinclair,Cambridge,MA,2138,525
Wilbur Theatre,Boston,MA,2116,1200
Fenway Park,Boston,MA,2215,37400
Great Scott,Allston,MA,2134,240
Royale Boston,Boston,MA,2116,1000
Orpheum Theatre - Boston,Boston,MA,2108,2700
Canada Life Centre,Winnipeg,MB,R3C 5S6,16345
Park Theatre,Winnipeg,MB,R3L 2B9,6400
Burton Cummings Theatre,Winnipeg,MB,R3B 2H2,1638
Club Regent Casino,Winnipeg,MB,R2C 3B2,1400
FedExField,Landover,MD,20785,82000
Royal Farms Arena,Baltimore,MD,21201,14000
Merriweather Post Pavilion,Columbia,MD,21044,19316
The Theater at MGM National Harbor,Oxon Hill,MD,20745,3000
Ocean City Convention Center,Ocean City,MD,21842,5000
Camden Yards,Baltimore,MD,21201,45971
Morgan State University,Baltimore,MD,21251,2000
Power Plant Live!,Baltimore,MD,21202,4000
Pier Six Pavilion,Baltimore,MD,21202,4600
Hippodrome Performing Arts Center,Baltimore,MD,21201,2300
PNC Waterside Pavilion at Calvert Marine Museum,Solomons,MD,20688,7000
Chesapeake Employers Insurance Arena,Baltimore,MD,21250,6000
Great Frederick Fair,Frederick,MD,21705,3000
The Fillmore Silver Spring,Silver Spring,MD,20910,2000
Baltimore SoundStage,Baltimore,MD,21202,700
Rams Head Live,Baltimore,MD,21202,1600
Cross Insurance Arena,Portland,ME,4101,6733
Maine Savings Amphitheater,Bangor,ME,4401,3500
Cross Insurance Center,Bangor,ME,4401,8500
Aura,Portland,ME,4101,1000
State Theatre Portland,Portland,ME,4101,1870
Rock Row,Westbrook,ME,4092,8000
Thompsons Point,Portland,ME,4102,7500
Little Caesars Arena,Detroit,MI,48201,19515
Van Andel Arena,Grand Rapids,MI,49503,10834
Masonic Temple - Detroit,Detroit,MI,48201,4300
Dow Event Center,Saginaw,MI,48607,7600
DTE Energy Music Theatre,Clarkston,MI,48348,15274
The Fillmore Detroit,Detroit,MI,48201,2900
GLC Live at 20 Monroe,Grand Rapids,MI,49503,2600
Soaring Eagle Casino and Resort,Mount Pleasant,MI,48858,10000
Leelanau Sands Showroom,Suttons Bay,MI,49682,1000
Berrien County Youth Fair,Berrien Springs,MI,49103,1866
Intersection,Grand Rapids,MI,49503,1808
Firekeepers Casino and Hotel,Battle Creek,MI,49014,2000
Allegan County Fair,Allegan,MI,49010,12000
The Intersection - The Stache,Grand Rapids,MI,49503,400
Deluxx Fluxx,Detroit,MI,48226,240
Kewadin Shores Casino,St Ignace,MI,49781,1800
Kresge Auditorium at Interlochen Center,Interlochen,MI,49643,3929
Silver Creek Event Center at Four Winds,New Buffalo,MI,49117,1600
Island Resort & Casino - MI,Harris,MI,49845,750
Kubiak Family Farms,Fowlerville,MI,48836,20000
Gervin GameAbove Center,Ypsilanti,MI,48197,9500
State Theatre Kalamazoo,Kalamazoo,MI,49007,1569
Ford Field,Detroit,MI,48226,78000
Fox Theatre Detroit,Detroit,MI,48201,5174
St. Andrews Hall,Detroit,MI,48226,800
The Machine Shop - MI,Flint,MI,48507,550
Comerica Park,Detroit,MI,48201,41782
Meadow Brook Amphitheatre,Rochester Hills,MI,48309,7701
The Crofoot Ballroom,Pontiac,MI,48342,1100
Royal Oak Music Theatre,Royal Oak,MI,48067,1700
Freedom Hill Amphitheater,Sterling Heights,MI,48312,7200
The Shelter at St. Andrews Hall,Detroit,MI,48226,226
Cathedral Theatre at the Masonic Temple - Detroit,Detroit,MI,48201,1586
Xcel Energy Center,Saint Paul,MN,55101,18568
Armory - Minneapolis,Minneapolis,MN,55415,8000
Target Center,Minneapolis,MN,55403,19356
US Bank Stadium,Minneapolis,MN,55415,73000
AMSOIL Arena,Duluth,MN,55802,9264
Bluestem Center for the Arts,Moorhead,MN,56560,3000
Mayo Clinic Health Systems Event Center,Mankato,MN,56001,6500
Minnesota State Fair,Saint Paul,MN,55108,17000
Fillmore Minneapolis,Minneapolis,MN,55401,1500
Orpheum Theatre - Minneapolis,Minneapolis,MN,55403,2600
State Theatre Minneapolis,Minneapolis,MN,55402,2181
Skyway Theater,Minneapolis,MN,55402,2500
Mystic Lake Casino Hotel,Prior Lake,MN,55372,2100
The Ledge Waite Park Amphitheater,Waite Park,MN,56387,6000
Treasure Island Amphitheater - Welch,Welch,MN,55089,16000
Northrop Auditorium,Minneapolis,MN,55455,2700
Treasure Island Resort and Casino - Welch,Welch,MN,55089,9400
Varsity Theater Minneapolis,Minneapolis,MN,55414,900
7th Street Entry,Minneapolis,MN,55403,250
Myth,Saint Paul,MN,55109,3000
First Avenue,Minneapolis,MN,55403,1550
Palace Theatre St. Paul,Saint Paul,MN,55102,2500
Cabooze,Minneapolis,MN,55404,1000
Enterprise Center,St. Louis,MO,63103,19260
T-Mobile Center,Kansas City,MO,64106,18972
Mizzou Arena,Columbia,MO,65201,15061
Ozarks Amphitheater,Camdenton,MO,65020,20000
Gillioz Theatre,Springfield,MO,65806,1130
Cable Dahmer Arena,Independence,MO,64050,5800
The Factory,Chesterfield,MO,63005,3000
Hollywood Casino Amphitheatre St Louis,Maryland Heights,MO,63043,20000
Show Me Center,Cape Girardeau,MO,63701,6972
The Pageant,St. Louis,MO,63112,2300
Midnight Rodeo Springfield,Springfield,MO,65804,1300
JQH Arena,Springfield,MO,65897,11000
Busch Stadium,St. Louis,MO,63102,45538
Knuckleheads Saloon,Kansas City,MO,64120,700
Delmar Hall,St. Louis,MO,63112,750
Stifel Theatre,St. Louis,MO,63103,3100
Arvest Bank Theatre at The Midland,Kansas City,MO,64105,3000
Ryse,Saint Charles,MO,63301,1300
Saint Louis Music Park,Maryland Heights,MO,63043,4500
MO Country,Grain Valley,MO,64029,800
Ballpark Village St. Louis,St. Louis,MO,63102,5000
Juanita K. Hammons Hall,Springfield,MO,65806,2200
Family Arena,Saint Charles,MO,63303,10467
Black Oak Mountain Amphitheater,Lampe,MO,65681,9000
GEHA Field at Arrowhead Stadium,Kansas City,MO,64129,81425
Starlight Theatre,Kansas City,MO,64132,8100
Fabulous Fox Theatre - St. Louis,St. Louis,MO,63103,4500
Blue Note - MO,Columbia,MO,65201,200
The Truman,Kansas City,MO,64106,1200
Uptown Theater Kansas City,Kansas City,MO,64111,1700
The Dome at America's Center,St. Louis,MO,63101,66000
Fubar - MO,St. Louis,MO,63101,500
Chaifetz Arena,St. Louis,MO,63103,10600
Brandon Amphitheater,Brandon,MS,39042,7000
Beau Rivage Theatre,Biloxi,MS,39530,1595
BancorpSouth Arena,Tupelo,MS,38804,10000
Rick's Cafe,Starkville,MS,39759,800
Lyric Theatre Oxford,Oxford,MS,38655,1000
Landers Center,Southaven,MS,38671,8400
Mississippi Coast Coliseum,Biloxi,MS,39531,11500
BankPlus Amphitheater at Snowden Grove,Southaven,MS,38672,11000
Horseshoe Casino Robinsonville,Robinsonville,MS,38664,1400
Hattiesburg Saenger Theater,Hattiesburg,MS,39401,1000
Gold Strike Casino Resort,Tunica Resorts,MS,38664,650
Hard Rock Live - Biloxi,Biloxi,MS,39530,2000
City Hall Live,Brandon,MS,39042,2000
First Interstate Arena,Billings,MT,59101,12000
Big Sky Events Arena,Gallatin Gateway,MT,59730,5000
Adams Event Center,Missoula,MT,59812,7538
Brick Breeden Fieldhouse,Bozeman,MT,59717,8455
Bobcat Stadium - MT,Bozeman,MT,59717,17777
Big Sky Brewery,Missoula,MT,59808,5000
Wilma Theatre Missoula,Missoula,MT,59802,1400
Washington-Grizzly Stadium,Missoula,MT,59812,25203
KettleHouse Amphitheater,Bonner,MT,59823,4000
Avenir Centre,Moncton,NB,E1C1H4,8800
Casino New Brunswick,Moncton,NB,E1G0R7,2100
Spectrum Center,Charlotte,NC,28202,20200
PNC Arena,Raleigh,NC,27607,19772
Greensboro Coliseum Complex,Greensboro,NC,27403,22000
PNC Music Pavilion,Charlotte,NC,28262,18800
Kidd Brewer Stadium,Boone,NC,28607,30000
The Fillmore Charlotte,Charlotte,NC,28202,2000
Coastal Credit Union Music Park at Walnut Creek,Raleigh,NC,27610,20601
Coyote Joes,Charlotte,NC,28208,2000
Booth Amphitheatre at Regency Park,Cary,NC,27518,7000
Harrahs Cherokee Resort Event Center,Cherokee,NC,28719,3000
The Ritz Raleigh,Raleigh,NC,27609,1400
Greenfield Lake Amphitheater,Wilmington,NC,28401,900
Bank of America Stadium,Charlotte,NC,28202,75412
Steven Tanger Center for the Performing Arts,Greensboro,NC,27401,3000
Ovens Auditorium,Charlotte,NC,28205,2460
Live Oak Bank Pavilion,Wilmington,NC,28401,7200
City Limits Saloon - Raleigh,Raleigh,NC,27603,200
Carolina Theatre - Fletcher Hall,Durham,NC,27401,1323
The Underground at The Fillmore Charlotte,Charlotte,NC,28206,800
Belk Theater at Blumenthal Performing Arts Center,Charlotte,NC,28202,2100
Bojangles Coliseum,Charlotte,NC,28205,9605
Cone Denim Entertainment Center,Greensboro,NC,27401,850
White Oak Amphitheatre at the Greensboro Coliseum Complex,Greensboro,NC,27403,7061
Cape Fear Community College,Wilmington,NC,28401,1500
Crown Center Complex of Cumberland County,Fayetteville,NC,28306,10000
Harrahs Cherokee Center Asheville,Asheville,NC,28801,7654
Piedmont Hall,Greensboro,NC,27403,2300
Tarheel Opry House,Jacksonville,NC,28540,776
Duke Energy Center - Memorial Auditorium,Raleigh,NC,27601,2277
Red Hat Amphitheater,Raleigh,NC,27601,5400
Durham Performing Arts Center,Durham,NC,27701,2712
Charlotte Metro Credit Union Amphitheatre,Charlotte,NC,28202,5000
Orange Peel,Asheville,NC,28801,1050
Fargodome,Fargo,ND,58102,19000
Alerus Center,Grand Forks,ND,58201,21000
Ralph Engelstad Arena,Grand Forks,ND,58203,11640
Fargo Theatre,Fargo,ND,58102,870
North Dakota State Fairgrounds,Minot,ND,58702,5200
Norsk Hostfest - State Fair Center,Minot,ND,58701,5200
Bismarck Civic Center,Bismarck,ND,58504,10100
CHI Health Center Omaha,Omaha,NE,68102,18975
Bourbon Theatre,Lincoln,NE,68508,750
Pinnacle Bank Arena,Lincoln,NE,68508,15500
Nebraskaland Grounds - Wild West Arena,North Platte,NE,69101,10000
Ralston Arena,Ralston,NE,68127,4400
Heartland Events Center at the Nebraska State Fair,Grand Island,NE,68802,6000
The Royal Grove,Lincoln,NE,68521,1000
Barnato,Omaha,NE,68118,300
Slowdown,Omaha,NE,68102,750
Baxter Arena,Omaha,NE,68106,7898
Buffalo County Fairgrounds,Kearney,NE,68847,5500
Nebraska State Fair - Fonner Park,Grand Island,NE,68801,7500
Pinewood Bowl Theater,Lincoln,NE,68522,5500
Orpheum Theatre - Omaha,Omaha,NE,68102,2600
Bank of New Hampshire Pavilion,Gilford,NH,3249,8300
SNHU Arena,Manchester,NH,3101,11770
Hampton Beach Casino Ballroom,Hampton,NH,3842,2200
The Music Hall Portsmouth,Portsmouth,NH,3801,900
Prudential Center,Newark,NJ,7102,18711
MetLife Stadium,East Rutherford,NJ,7073,82500
Boardwalk Hall,Atlantic City,NJ,8401,10500
BB&T Pavilion,Camden,NJ,8103,25000
PNC Bank Arts Center,Holmdel,NJ,7733,17500
Paramount Theatre Asbury Park,Asbury Park,NJ,7712,1600
Borgata Casino Event Center,Atlantic City,NJ,8401,2400
Etess Arena at Hard Rock Hotel and Casino,Atlantic City,NJ,8401,7000
Ovation Hall at Ocean Casino Resort,Atlantic City,NJ,8401,5000
Hard Rock Hotel and Casino Atlantic City - DAER Nightclub,Atlantic City,NJ,8401,1500
House of Independents,Asbury Park,NJ,7712,500
Hackensack Meridian Health Theatre,Red Bank,NJ,7701,1568
Tropicana Casino - NJ,Atlantic City,NJ,8401,2000
Borgata Casino Music Box,Atlantic City,NJ,8401,1000
Community Theatre at Mayo Performing Arts Center,Morristown,NJ,7960,1302
Bergen Performing Arts Center,Englewood,NJ,7631,1399
State Theatre New Brunswick,New Brunswick,NJ,8901,1847
New Jersey Performing Arts Center,Newark,NJ,7102,3352
Atlantic City Beach,Atlantic City,NJ,8401,50000
Wellmont Theater,Montclair,NJ,7042,2600
Starland Ballroom,Sayreville,NJ,8872,2500
Stone Pony,Asbury Park,NJ,7712,600
Holy Heart Theatre,St. John's,NL,A1C 3Z3,1100
Mile One Centre,St. John's,NL,NL A1C 1J3,7000
Isleta Amphitheater,Albuquerque,NM,87105,12000
Pan American Center,Las Cruces,NM,88003,12482
Sandia Resort and Casino,Albuquerque,NM,87113,4000
Isleta Casino and Resort,Albuquerque,NM,87105,2400
Route 66 Casino,Albuquerque,NM,87121,2800
Kiva Auditorium,Albuquerque,NM,87102,2300
Tingley Coliseum,Albuquerque,NM,87108,11571
Inn Of The Mountain Gods Resort,Mescalero,NM,88340,3000
Scotiabank Centre,Halifax,NS,B3J 2V9,11093
MGM Grand Garden Arena,Las Vegas,NV,89109,16800
Michelob ULTRA Arena at Mandalay Bay Resort and Casino,Las Vegas,NV,89119,12000
Dolby Live at Park MGM,Las Vegas,NV,89109,6400
XS Nightclub at Encore,Las Vegas,NV,89109,3500
Encore Theater At Wynn Las Vegas,Las Vegas,NV,89109,1480
Cosmopolitan of Las Vegas,Las Vegas,NV,89109,2500
House of Blues Las Vegas,Las Vegas,NV,89119,1800
Zappos Theater at Planet Hollywood,Las Vegas,NV,89109,4600
Reno Events Center,Reno,NV,89501,7500
Grand Sierra Theatre,Reno,NV,89595,2500
T-Mobile Arena,Las Vegas,NV,89158,20000
Caesars Palace,Las Vegas,NV,89109,4100
Laughlin Event Center at Edgewater Hotel Casino,Laughlin,NV,89029,11600
Mandalay Bay Beach,Las Vegas,NV,89119,12000
Harveys Outdoor Arena - Lake Tahoe NV,Stateline,NV,89449,9300
Harrahs Reno,Reno,NV,89501,400
The Theater at Virgin Hotels Las Vegas,Las Vegas,NV,89109,4500
Resorts World Theatre,Las Vegas,NV,89109,5000
Nugget Event Center,Sparks,NV,89431,8500
Allegiant Stadium,Las Vegas,NV,89118,65000
Zouk Nightclub,Las Vegas,NV,89109,5000
Drais Beachclub and Nightclub,Las Vegas,NV,89109,4000
Venetian Theatre at the Venetian Las Vegas,Las Vegas,NV,89109,1815
Pearl Concert Theater at Palms Casino Resort,Las Vegas,NV,89103,2500
Green Valley Ranch,Henderson,NV,89052,2000
Harrahs South Shore Showroom,Stateline,NV,89449,750
Peppermill Concert Hall,West Wendover,NV,89883,1000
Silver State Pavilion at Grand Sierra Resort,Reno,NV,89595,2240
Harrahs Rio Vista Outdoor Amphitheater,Laughlin,NV,89029,3000
Downtown Las Vegas - DLV Events Center,Las Vegas,NV,89101,15000
Reno Ballroom,Reno,NV,89501,3000
Kaos Dayclub and Nightclub,Las Vegas,NV,89103,5000
Bunkhouse Saloon,Las Vegas,NV,89101,200
Brooklyn Bowl - Las Vegas,Las Vegas,NV,89109,2000
MVP Arena,Albany,NY,12207,17500
KeyBank Center,Buffalo,NY,14203,19200
Barclays Center,Brooklyn,NY,11217,18103
Madison Square Garden,New York,NY,10001,20000
Nassau Coliseum,Uniondale,NY,11553,16297
Radio City Music Hall,New York,NY,10020,6015
The Rooftop at Pier 17,New York,NY,10038,3400
Hammerstein Ballroom,New York,NY,10001,3500
UBS Arena,Elmont,NY,11003,18853
Brooklyn Mirage,Brooklyn,NY,11237,6000
St. Josephs Health Amphitheater at Lakeview,Syracuse,NY,13209,17500
Ford Amphitheater at Coney Island Boardwalk,Brooklyn,NY,11224,5000
Citi Field,New York,NY,11368,41800
Saratoga Performing Arts Center,Saratoga Springs,NY,12866,25100
Mulcahys,Wantagh,NY,11793,1200
Constellation Brands Performing Arts Center,Canandaigua,NY,14424,15000
Irving Plaza,New York,NY,10003,1200
Darien Lake Performing Arts Center,Darien Center,NY,14040,21600
Northwell Health at Jones Beach Theater,Wantagh,NY,11793,14400
NYCB Theatre at Westbury,Westbury,NY,11590,2800
The Paramount Huntington,Huntington,NY,11743,1500
Carnegie Hall - Isaac Stern Auditorium,New York,NY,10019,2804
Bowery Ballroom,New York,NY,10002,550
Gramercy Theatre,New York,NY,10010,600
Town Hall New York,New York,NY,10036,1500
Upstate Concert Hall,Clifton Park,NY,12065,1300
Erie County Fair,Hamburg,NY,14075,7200
Beacon Theatre,New York,NY,10023,2894
Turning Stone Resort and Casino Event Center,Verona,NY,13478,5000
The Seneca Niagara Events Center at Seneca Niagara Casino,Niagara Falls,NY,14303,2380
The Vine at Del Lago Resort and Casino,Waterloo,NY,13165,2400
Enjoie Golf Course,Endicott,NY,13760,25000
Highmark Stadium,Orchard Park,NY,14127,73079
Tags Summer Stage,Big Flats,NY,14814,7500
House of Power Stadium at Orange County Fair Speedway,Middletown,NY,10940,50835
Michie Stadium,West Point,NY,10996,38000
Apollo Theater New York,New York,NY,10027,1506
Keg's Canalside Event Center,Jordan,NY,13080,2800
The Egg,Albany,NY,12220,1432
Sheas Performing Arts Center - Buffalo Theatre,Buffalo,NY,14202,3019
Coney Art Walls,Brooklyn,NY,11224,2000
Carrier Dome,Syracuse,NY,13244,49250
Babys All Right,Brooklyn,NY,11211,280
SOB's (Sounds of Brazil),New York,NY,10014,400
Town Ballroom,Buffalo,NY,14203,1000
Water Street Music Hall,Rochester,NY,14614,1000
Great Hall - Avant Gardner,Brooklyn,NY,11237,5000
Palladium Times Square,New York,NY,10036,2100
Lost Circus - Avant Gardner,Brooklyn,NY,11237,6200
Rec Room - Buffalo,Buffalo,NY,14202,400
The Lost Horizon,Syracuse,NY,13224,500
The Chance,Poughkeepsie,NY,12601,900
Bardavon Opera House,Poughkeepsie,NY,12601,944
Resorts World Catskills,Monitcello,NY,12701,1500
Artpark Outdoor Amphitheater,Lewiston,NY,14092,10000
The TimesCenter,New York,NY,10036,378
Capitol Theatre Port Chester,Port Chester,NY,10573,1800
Rochester Auditorium,Rochester,NY,14605,3901
Landmark Theatre Syracuse,Syracuse,NY,13202,3000
Terminal 5,New York,NY,10019,3000
Forest Hills Stadium at West Side Tennis Club,Forest Hills,NY,11375,14000
Tilles Center Concert Hall,Brookville,NY,11548,2242
Kodak Center,Rochester,NY,14615,1968
St. James Theatre New York,New York,NY,10036,1710
Visions Veterans Memorial Arena,Binghamton,NY,13901,6925
Main Street Armory,Rochester,NY,14605,6500
Batavia Downs,Batavia,NY,14020,2500
Empire Live,Albany,NY,12207,9600
Cool Insuring Arena,Glens Falls,NY,12801,7562
United Palace Theatre,New York,NY,10033,3327
Canalside,Buffalo,NY,14202,45000
Music Hall of Williamsburg,Brooklyn,NY,11211,550
Webster Hall,New York,NY,10003,1500
Bethel Woods Center For The Arts,Bethel,NY,12720,15000
Hulu Theater at Madison Square Garden,New York,NY,10010,5600
Rocket Mortgage FieldHouse,Cleveland,OH,44115,19432
Value City Arena at Schottenstein Center,Columbus,OH,43210,18809
Nationwide Arena,Columbus,OH,43215,20000
Riverbend Music Center,Cincinnati,OH,45230,20500
Blossom Music Center,Cuyahoga Falls,OH,44223,19600
Bogarts,Cincinnati,OH,45219,1500
Agora Theatre,Cleveland,OH,44103,1800
Progressive Field,Cleveland,OH,44115,43345
Great American Ball Park,Cincinnati,OH,45202,42319
The Basement-OH,Columbus,OH,43215,300
Grog Shop,Cleveland,OH,44106,400
House of Blues Cleveland,Cleveland,OH,44114,1200
KEMBA LIVE!,Columbus,OH,43215,2200
Heritage Bank Center,Cincinnati,OH,45202,17556
Andrew J Brady ICON Music Center,Cincinnati,OH,45202,8000
ICON Festival Stage,Cincinnati,OH,45202,4500
MGM Northfield Park - Center Stage,Northfield,OH,44067,2600
Taft Theatre,Cincinnati,OH,45202,2500
Covelli Centre,Youngstown,OH,44503,5900
Allen County Fairgrounds,Lima,OH,45804,13000
Flannagans Dublin,Columbus,OH,43235,4000
Stranahan Theatre,Toledo,OH,43614,2424
Huntington Center,Toledo,OH,43604,8000
Stambaugh Stadium,Youngstown,OH,44504,20630
Holiday Auto Theatre - OH,Hamilton,OH,45013,400
Peoples Bank Theatre,Marietta,OH,45750,952
Packard Music Hall,Warren,OH,44483,2500
Tom Benson Hall of Fame Stadium,Canton,OH,44701,23000
Fraze Pavilion,Dayton,OH,45429,4300
The Bluestone,Columbus,OH,43215,1000
Dusty Armadillo,Rootstown,OH,44272,200
Tequila Cowboy - Columbus,Columbus,OH,43240,1800
Riverfront Live,Cincinnati,OH,45226,3500
State Theatre-Playhouse Square Center,Cleveland,OH,44115,3400
Wolstein Center at CSU,Cleveland,OH,44115,13610
OTR Live,Cincinnati,OH,45202,20000
Rose Music Center at The Heights,Huber Heights,OH,45424,4200
Toledo Zoo Amphitheatre,Toledo,OH,43609,4500
Palace Theatre Columbus,Columbus,OH,43215,2695
Promenade Park Stage,Toledo,OH,43604,10000
Severance Hall,Cleveland,OH,44106,400
Canton Palace Theater,Canton,OH,44702,1488
Nutter Center,Dayton,OH,45435,11200
Canfield Fairgrounds,Canfield,OH,44406,64450
Hobart Arena,Troy,OH,45373,5282
Templeton-Blackburn Alumni Memorial Auditorium,Athens,OH,45701,2500
Miller Family Farm,Pleasantville,OH,43148,20000
Madison County Fairgrounds - OH,London,OH,43140,700
Celeste Center,Columbus,OH,43211,10200
Newport Music Hall,Columbus,OH,43201,1700
Youngstown Foundation Amphitheatre,Youngstown,OH,44503,4800
Jacobs Pavilion at Nautica,Cleveland,OH,44113,4500
PNC Pavilion,Cincinnati,OH,45230,18800
Paycom Center,Oklahoma City,OK,73107,16600
BOK Center,Tulsa,OK,74103,19100
Choctaw Grand Theater,Durant,OK,74701,3000
Cains Ballroom,Tulsa,OK,74103,1500
The Criterion OKC,Oklahoma City,OK,73104,3500
OKC Zoo Amphitheatre,Oklahoma City,OK,73111,7000
Lloyd Noble Center,Norman,OK,73019,11528
Riverwind Casino,Norman,OK,73069,1500
WinStar World Casino,Thackerville,OK,73459,3500
Tower Theatre - OKC,Oklahoma City,OK,73103,700
The Cove at River Spirit Casino,Tulsa,OK,74137,2700
Hard Rock Hotel and Casino Tulsa - The Joint,Catoosa,OK,74015,2600
Tulsa Theater,Tulsa,OK,74103,2800
The Jones Assembly,Oklahoma City,OK,73106,1600
Osage Million Dollar Elm Casino,Sand Springs,OK,74063,2000
Stride Bank Center,Enid,OK,73701,3800
Diamond Ballroom,Oklahoma City,OK,73149,1000
Scotiabank Arena,Toronto,ON,M5J 2X2,19800
O2 Arena - London,London,on,SE10 0DX,20000
Budweiser Stage,Toronto,ON,M6K 3B9,16000
OVO Hydro,Glasgow,on,G38YW,13000
Wembley Stadium,London,on,HA9 7EX,90000
AO Arena,Manchester,on,M3 1AR,21000
Canadian Tire Centre,Ottawa,ON,K2V 1A5,20500
Rogers Centre,Toronto,ON,M5V 1J3,50000
SSE Arena Wembley,London,on,E14 9TH,12500
FirstOntario Centre,Hamilton,ON,L8R 3L4,19000
Budweiser Gardens,London,ON,N6A 6K1,9100
Massey Hall,Toronto,ON,M5B 1T7,2752
Eventim Apollo,London,on,W6 9QH,5100
Meridian Hall - Toronto,Toronto,ON,M5E 1B2,3200
Avalon Ballroom Theatre at Niagara Fallsview Casino Resort,Niagara Falls,ON,L2G 7X5,1500
The Opera House Toronto,Toronto,ON,M4M 1H1,850
Cardiff City Stadium,South Glamorgan,on,CF11 8AZ,25000
Coca-Cola Coliseum,Toronto,ON,M6K 3C3,9250
O2 Academy Brixton,London,on,SW9 9SL,4921
The Danforth Music Hall,Toronto,ON,M4K 1N2,1500
National Arts Centre,Ottawa,ON,K1P 5W1,3670
Centre in the Square Ontario,Kitchener,ON,N2H 6P7,2047
Mediolanum Forum,Milan,on,IT-MILA,13200
Leons Centre,Kingston,ON,K7K 0B4,5700
Tribute Communities Centre,Oshawa,ON,L1H 1J8,5500
Casino Rama,Rama,ON,L3V6H6,5000
The Colosseum at Caesars Windsor,Windsor,ON,N9A 7H7,5000
Fallsview Casino Entertainment Centre,Niagara Falls,ON,L2E 7H3,5000
Burls Creek Park,Oro Medonte,ON,L0L2X0,100000
Velvet Underground,Toronto,ON,N5V 2B3,440
History Toronto,Toronto,ON,M4L 1G5,2500
London Music Hall - Ontario,London,ON,N6A 1G7,1930
Rebel - ON,Toronto,ON,M5A 1A4,2500
Phoenix Concert Theatre,Toronto,ON,M4X 1K2,1350
FirstOntario Concert Hall,Hamilton,ON,L8P 1H6,2193
Community Auditorium Thunder Bay,Thunder Bay,ON,P7B 6C7,1511
Harris Park Ontario,London,ON,N6A 1B5,50000
Queen Elizabeth Theatre - Toronto,Toronto,ON,M6K 3C3,1250
Liverpool Echo Arena,Liverpool,on,L3 4BX,11000
Wiener Stadthalle,Vienna,on,0,16000
Mercedes-Benz Arena - Berlin,Berlin,on,10243,17000
Lanxess Arena,Cologne,on,50679,19500
Tele2 Arena,Johanneshov,on,0,69000
RBC Echo Beach,Toronto,ON,M6K3L3,5000
Bronson Centre,Ottawa,ON,K1R 6H5,1000
Sault Community Theatre Centre,Sault Ste. Marie,ON,P6A 5K9,987
Mavricks Music Hall,Barrie,ON,L4N1A4,2500
Moda Center,Portland,OR,97227,20000
Roseland Theater,Portland,OR,97209,1480
Wow Hall,Eugene,OR,97401,400
McMenamins Crystal Ballroom,Portland,OR,97209,1500
Portland Memorial Coliseum,Portland,OR,97227,12888
Arlene Schnitzer Concert Hall,Portland,OR,97205,2776
Theater of the Clouds at Moda Center,Portland,OR,97227,6500
Matthew Knight Arena,Eugene,OR,97401,12364
LB Day Amphitheatre at Oregon State Fairgrounds,Salem,OR,97303,14000
Hayden Homes Amphitheater,Bend,OR,97702,8000
Linn County Expo Center,Albany,OR,97322,2256
Seven Feathers Casino Resort,Canyonville,OR,97417,2250
Hawthorne Theatre,Portland,OR,97214,500
McDonald Theatre,Eugene,OR,97402,759
Jackson County Fair-OR,Central Point,OR,97502,10000
Britt Pavilion,Jacksonville,OR,97530,2200
Hult Center - Silva Concert Hall,Eugene,OR,97401,2447
Oregon Zoo Amphitheatre,Portland,OR,97221,1000
McMenamins Historic Edgefield Manor,Troutdale,OR,97060,225
Wells Fargo Center-PA,Philadelphia,PA,19148,19500
PPG Paints Arena,Pittsburgh,PA,15219,20000
Santander Arena,Reading,PA,19601,7083
The Met Philadelphia,Philadelphia,PA,19130,3500
Bryce Jordan Center,University Park,PA,16802,16000
Giant Center,Hershey,PA,17033,10500
Lincoln Financial Field,Philadelphia,PA,19147,68532
Chameleon Club,Lancaster,PA,17603,750
PPL Center,Allentown,PA,18101,10500
The Pavilion at Star Lake,Burgettstown,PA,15021,23000
Hersheypark Stadium,Hershey,PA,17033,30000
Wind Creek Event Center,Bethlehem,PA,18015,3800
The Pavilion at Montage Mountain,Scranton,PA,18505,18000
American Music Theatre,Lancaster,PA,17602,1600
Mohegan Sun Arena at Casey Plaza,Wilkes-Barre,PA,18702,8300
Heinz Field,Pittsburgh,PA,15212,65050
Theatre of Living Arts,Philadelphia,PA,19147,800
Keswick Theatre,Glenside,PA,19038,1300
Citizens Bank Park,Philadelphia,PA,19148,43647
PNC Park,Pittsburgh,PA,15212,38496
Stage AE,Pittsburgh,PA,15212,5500
Petersen Events Center,Pittsburgh,PA,15260,3500
NOTO Philadelphia,Philadelphia,PA,19107,996
Union Transfer,Philadelphia,PA,19123,1000
Franklin Music Hall,Philadelphia,PA,19123,3000
Tower Theater Upper Darby,Upper Darby,PA,19082,3100
Crawford County Fair - PA,Meadville,PA,16335,10000
York Fair,York,PA,17404,5500
Erie Insurance Arena,Erie,PA,16501,9000
Cambria County War Memorial Arena,Johnstown,PA,15901,4001
